hangul,hanja,flag,date,note
가,可,D,2017-06-04,옳을 가
가,家,D,2017-06-04,집 가
가,加,D,2017-06-04,더할 가
가,歌,D,2017-06-04,노래 가
가,價,D,2017-06-04,값 가
가,街,D,2017-06-04,거리 가
가,假,D,2017-06-04,거짓 가
가,佳,D,2017-06-04,아름다울 가
가,暇,D,2017-06-04,겨를 가
가,架,D,2017-06-04,시렁 가
가,价,D,2017-06-04,
가,賈,D,2017-06-04,"값 가, 값/성 가"
가,伽,D,2017-06-04,절 가
가,柯,D,2017-06-04,가지 가
가,迦,D,2017-06-04,부처이름 가
가,軻,D,2017-06-04,"수레 가기 힘들 가, 바퀴굴대 가"
가,嘉,D,2017-06-04,아름다울 가
가,駕,D,2017-06-04,멍에 가
가,嫁,D,2017-06-04,시집갈 가
가,稼,D,2017-06-04,"심을 가, 곡식심을 가"
가,哥,D,2017-06-04,"노래 가, 형언니 가"
가,呵,D,2017-06-04,꾸짖을 가
가,苛,D,2017-06-04,"매울 가, 까다로울 가"
가,袈,D,2017-06-04,가사 가
가,訶,D,2017-06-04,꾸짖을 가
가,枷,D,2017-06-04,"목칼 가, 도리깨채 가, 형구 가"
가,珂,D,2017-06-04,옥 이름 가
가,茄,D,2017-06-04,가지 가
가,痂,D,2017-06-04,헌데 딱지 가
가,跏,D,2017-06-04,"책상다리할 가, 도사리어 앉을 가"
가,斝,D,2017-06-04,옥잔 가
가,葭,D,2017-06-04,갈대 가
가,舸,D,2017-06-04,큰 배 가
가,笳,D,2017-06-04,갈잎피리 가
가,哿,D,2017-06-04,좋을 가
가,坷,D,2017-06-04,험할 가
가,檟,D,2017-06-04,오동나무 가
가,謌,D,2017-06-04,歌와 同字
가,珈,D,2017-06-04,머리꾸미개 가
가,砢,D,2017-06-04,
가,佉,D,2017-06-04,
가,呿,D,2017-06-04,
가,榎,D,2017-06-04,檟와 同字
가,仮,D,2017-06-04,假의 略字
가,傢,D,2017-06-04,세간 가
가,咖,D,2017-06-04,"커피차 가, 커피의 음차로 쓰는자 가"
가,瘕,D,2017-06-04,
가,耞,D,2017-06-04,도리깨 가
가,宊,D,2017-06-04,
가,椵,D,2017-06-04,
가,叚,D,2017-06-04,
가,価,D,2017-06-04,
가,猳,D,2017-06-04,
가,髂,D,2017-06-04,
가,瘸,D,2017-06-04,
가,鴐,D,2017-06-04,
가,䴥,D,2017-06-04,
가,拁,D,2017-06-04,
가,㤎,D,2017-06-04,
가,榢,D,2017-06-04,
가,毠,D,2017-06-04,
가,溊,D,2017-06-04,
가,牁,D,2017-06-04,
가,豭,D,2017-06-04,
가,槚,D,2017-06-04,
가,诃,D,2017-06-04,
가,贾,D,2017-06-04,
가,轲,D,2017-06-04,
가,镓,D,2017-06-04,
가,驾,D,2017-06-04,
가,鲄,D,2017-06-04,
가,婽,D,2017-06-04,
가,尜,D,2017-06-04,
가,岢,D,2017-06-04,
가,幏,D,2017-06-04,
가,彁,D,2017-06-04,
가,徦,D,2017-06-04,
가,愘,D,2017-06-04,
가,戓,D,2017-06-04,
가,戨,D,2017-06-04,
가,斚,D,2017-06-04,
가,樖,D,2017-06-04,
가,泇,D,2017-06-04,
가,渮,D,2017-06-04,
가,滒,D,2017-06-04,
가,炣,D,2017-06-04,
가,牫,D,2017-06-04,
가,牱,D,2017-06-04,
가,犌,D,2017-06-04,
가,玍,D,2017-06-04,
가,癿,D,2017-06-04,
가,笴,D,2017-06-04,
가,糘,D,2017-06-04,
가,胢,D,2017-06-04,
가,腵,D,2017-06-04,
가,蚵,D,2017-06-04,
가,貑,D,2017-06-04,
가,跒,D,2017-06-04,
가,酠,D,2017-06-04,
가,鉫,D,2017-06-04,
가,鉲,D,2017-06-04,
가,鎵,D,2017-06-04,
가,鎶,D,2017-06-04,
가,魺,D,2017-06-04,
가,鴚,D,2017-06-04,
가,麚,D,2017-06-04,
가,㗎,D,2017-06-04,
가,㚙,D,2017-06-04,
가,㞹,D,2017-06-04,
가,㢦,D,2017-06-04,
가,㤉,D,2017-06-04,
가,㧝,D,2017-06-04,
가,㪃,D,2017-06-04,
가,㪼,D,2017-06-04,
가,㱒,D,2017-06-04,
가,㹢,D,2017-06-04,
가,䂟,D,2017-06-04,
가,䈔,D,2017-06-04,
가,䑝,D,2017-06-04,
가,䔅,D,2017-06-04,
가,䕒,D,2017-06-04,
가,䪪,D,2017-06-04,
가,䯊,D,2017-06-04,
가,䶗,D,2017-06-04,
가,嘏,I,2017-06-04,
각,各,D,2017-06-04,각각 각
각,角,D,2017-06-04,뿔 각
각,脚,D,2017-06-04,"다리 각, 종아리 각"
각,覺,D,2017-06-04,깨달을 각
각,閣,D,2017-06-04,"문설주 각, 다락집 각"
각,刻,D,2017-06-04,새길 각
각,却,D,2017-06-04,물리칠 각
각,珏,D,2017-06-04,쌍옥 각
각,恪,D,2017-06-04,"삼갈 각, 공경할 각"
각,殼,D,2017-06-04,껍질 각
각,慤,D,2017-06-04,"삼갈 각, 정성 각"
각,榷,D,2017-06-04,
각,骼,D,2017-06-04,
각,桷,D,2017-06-04,서까래 각
각,礭,D,2017-06-04,
각,搉,D,2017-06-04,칠 각
각,卻,D,2017-06-04,却의 本字
각,躩,D,2017-06-04,
각,咯,D,2017-06-04,토할 각
각,埆,D,2017-06-04,메마를 각
각,擱,D,2017-06-04,놓을 각
각,塙,D,2017-06-04,
각,阁,D,2017-06-04,
각,愨,D,2017-06-04,
각,覚,D,2017-06-04,
각,礐,D,2017-06-04,
각,殻,D,2017-06-04,
각,胳,D,2017-06-04,
각,傕,D,2017-06-04,
각,崅,D,2017-06-04,
각,茖,D,2017-06-04,
각,佫,D,2017-06-04,
각,墧,D,2017-06-04,
각,斍,D,2017-06-04,
각,腳,D,2017-06-04,
각,隺,D,2017-06-04,
각,㩁,D,2017-06-04,
각,㰌,D,2017-06-04,
각,㴶,D,2017-06-04,
각,壳,D,2017-06-04,
각,悫,D,2017-06-04,
각,搁,D,2017-06-04,
각,觉,D,2017-06-04,
각,愙,D,2017-06-04,
각,捔,D,2017-06-04,
각,斠,D,2017-06-04,
각,櫊,D,2017-06-04,
각,毃,D,2017-06-04,
각,玨,D,2017-06-04,
각,袼,D,2017-06-04,
각,覐,D,2017-06-04,
각,踋,D,2017-06-04,
각,鵅,D,2017-06-04,
각,鵤,D,2017-06-04,
각,㑢,D,2017-06-04,
각,㔖,D,2017-06-04,
각,㕁,D,2017-06-04,
각,㙾,D,2017-06-04,
각,㤩,D,2017-06-04,
각,㱋,D,2017-06-04,
